Image; Model; Series; Yen Price; Release Date; Notes
Mg-ms06f.jpg;MS-06F/J Zaku II;Mobile Suit Gundam;¥2,500;1995 October;Color variant of MG-002. Includes Missile Pods, MMP-80 Machine Gun, Cracker Grenades, and Zeon pilot figurine. Water slide decal sheet is sold separately as GD-5.
Mg-ms06s.jpg;MS-06S Zaku II;Mobile Suit Gundam;¥2,500;1995 October;Includes Char Aznable figurine. Water slide decal sheet is sold separately as GD-5. First MG kit with leg inner frame parts.
MSZ-006.jpeg;MSZ-006 Zeta Gundam;Mobile Suit Zeta Gundam;¥3,000;1996 April;Features stabilizer with pre-printed markings and LED light-up gimmick (requires CR1220 battery). Includes Hyper Mega Launcher, Grenade Launcher, and Kamille Bidan figurine. Water slide decal sheet is sold separately as GD-1. First transformable MG.
Mg-ms14-ca.jpg;MS-14S Gelgoog (C. Aznable Custom);Mobile Suit Gundam;¥3,000;1996 December;Includes Char Aznable figurine.
Mg-ms-06r1-sm.jpg;MS-06R-1 Zaku II (Shin Matsunaga Custom);Mobile Suit Variations;¥2,800;1996 June;Parts and color variant of MG-002. Includes Shin Matsunaga figurine.
Ms-06r-2-mg1.jpg;MS-06R-2 Zaku II (J. Ridden Custom);Mobile Suit Variations;¥2,800;1996 June;Parts and color variant of MG-006. Includes Johnny Ridden figurine.
Mg-rx-78-g3.jpg;Gundam RX-78-3;Mobile Suit Variations;¥2,500;1996 March;Color variant of MG-001. First MG kit from the ''MSV'' series.
MG_Char's_Zaku_II_Crystal_Ver.jpg;MS-06S Zaku II Crystal Version;Mobile Suit Gundam;¥2,800;1996 October;Limited clear color variant of MG-002.
MG_RX-78-2_Crystal_Ver.jpg;RX-78-2 Gundam Crystal Version;Mobile Suit Gundam;¥2,800;1996 October;Limited clear color variant of MG-001.
Mg-rx-78gp01.jpg;Gundam GP01;Mobile Suit Gundam 0083: Stardust Memory;¥2,500;1997 August;Includes transformable FF-XII Core Fighter II and Kou Uraki figurine. Water slide decal sheet is sold separately as GD-24. First Gundam kit with leg inner frame parts.
Mg-rx-78gp01fb.jpg;Gundam GP01Fb;Mobile Suit Gundam 0083: Stardust Memory;¥3,000;1997 December;Parts variant of MG-010. Includes transformable FF-XII-Fb Core Fighter II Full Burnern. Water slide decal sheet is sold separately as GD-24.
Mg-ms-14c-jr.jpg;MS-14B/C Gelgoog Cannon (J. Ridden Custom);Mobile Suit Variations;¥3,000;1997 March;Parts and color variant of MG-008. Includes Johnny Ridden figurine and parts to create MS-14B Gelgoog High Mobility Type.
Mg-ms14-a.jpg;MS-14A Gelgoog;Mobile Suit Gundam;¥3,000;1997 September;Parts and color variant of MG-008. Uses modified A plate runner of MG-009. Beam Rifle replaced by Beam Machine Gun. Includes Zeon pilot figurine.
Mg-rx-178t.jpg;RX-178 Gundam Mk-II (Titans) ;Mobile Suit Zeta Gundam;¥2,800;1998 August;Color variant of MG-014. Includes Titans pilot figurine. Water slide decal sheet is sold separately as GD-7.
Mg-rx-178-fxa-05.jpg;FXA-05D/RX-178 Super Gundam;Mobile Suit Zeta Gundam;¥4,000;1998 December;Re-release of MG-014 with fully transformable FXA-05D G-Defenser, which is also compatible with MG-082. Water slide decal sheet is sold separately as GD-7.
Mg-rx-178mk-ii.jpg;RX-178 Gundam Mk-II (A.E.U.G.);Mobile Suit Zeta Gundam;¥2,800;1998 July;Includes Kamille Bidan figurine. Water slide decal sheet is sold separately as GD-6.
MG_Zeta_Gundam_Coating_Ver.jpg;MSZ-006 Zeta Gundam Coating Version;Mobile Suit Zeta Gundam;¥4,000;1998 July;Special chrome color plated variant of MG-005. Includes 1/20 scale Kamille Bidan figure. Released to commemorate the 20th anniversary of ''Gundam''.
MG_RX-78-2_Coating_Ver.jpg;Gundam RX-78-2 Coating Version;Mobile Suit Gundam;¥3,500;1998 June;Special chrome color plated variant of MG-001. Includes 1/20 scale Amuro Ray figure. Released to commemorate the 20th anniversary of ''Gundam''. 
Mg-rx78-gp02.jpg;Gundam Rx-78 GP02A;Mobile Suit Gundam 0083: Stardust Memory;¥4,000;1998 June;Includes Anavel Gato figurine and two Mk-82 nuclear warheads. Water slide decal sheet is sold separately as GD-24. First Gundam GP02A kit to have functional shoulder binders.
MG_Zaku_II_Crystal_Ver.jpg;MS-06F/J Zaku II Crystal Version;Mobile Suit Gundam;¥2,800;1998 October;Limited clear color variant of MG-003.
MG_Char's_Zaku_II_Coating_Ver.jpg;MS-06S Zaku II Coating Version;Mobile Suit Gundam;¥3,500;1999 August;Special chrome color plated variant of MG-002. Includes 1/20 scale Char Aznable figure. Released to commemorate the 20th anniversary of ''Gundam''.
Gunpla_MG_ltd_GundamGP01Fb-Coating_box.jpg;Gundam GP01Fb Coating Version;Mobile Suit Gundam 0083: Stardust Memory;¥4,000;1999 August;Special color chrome plated variant of MG-012. Includes 1/20 scale Kou Uraki figure. Released to commemorate the 20th anniversary of ''Gundam''.
Rgm-79n-mg.jpg;RGM-79N GM Custom;Mobile Suit Gundam 0083: Stardust Memory;¥3,000;1999 December;Uses the B plate runner of MG-022. Includes 90mm Machine Gun as seen in Into Battle, Albion!, episode 3 of the OVA, and 1/20 and 1/100 scale South Burning figures. Water slide decal sheet is sold separately as GD-24.
Rgm-79q-mg.jpg;RGM-79Q GM Quel;Mobile Suit Gundam 0083: Stardust Memory;¥3,000;1999 December;Parts and color variant of MG-024. Includes Beam Rifle, 1/20 scale Nina Purpleton figure and 1/100 scale Titans pilot figurine.
Msz-010-mg.jpg;MSZ-010 ZZ Gundam;Mobile Suit Gundam ZZ;¥4,000;1999 December;Includes transformable FXA-07GB Neo Core Fighter, semi-transformable Core Block, and Judau Ashta figurine. Fully transformable kit.
Mg-rgm-79.jpg;RGM-79 GM;Mobile Suit Gundam;¥2,500;1999 February;"Parts and color variant of MG-001. Includes detachable cockpit block and Earth Federation pilot figurine. First MG kit to replace ""U.N.T. Spacy"" with ""E.F.S.F."" as the official Earth Federation Forces moniker."
Ms-06r1a-mg.jpg;MS-06R-1A Zaku II (Black Tri-Stars);Mobile Suit Variations;¥3,000;1999 June;Color variant of MG-006,  K plate runner with leg armor parts replaced by P plate runner with Giant Bazooka and Shield parts. Includes 1/20 and 1/100 scale Mash figures.
Mg-alex.jpg;Gundam RX-78 NT-1;Mobile Suit Gundam 0080: War in the Pocket;¥3,000;1999 June;Includes Christina Mackenzie figurine and detachable Chobham Armor. Water slide decal sheet is sold separately as GD-53.
Mg-ms-09.jpg;MS-09 Dom;Mobile Suit Gundam;¥4,000;1999 June;Includes 1/20 and 1/100 scale Ortega figures. Water slide decal sheet is sold separately as GD-15.
Mg-ms-05b.jpg;MS-05B Zaku I;Mobile Suit Gundam;¥2,500;1999 May;"Parts and color variant of MG-002. First MG kit to replace ""Zeon Dukedom"" with the official moniker Principality of Zeon."
Mg-ms-05bt.jpg;MS-05B Zaku I (Black Tri-Stars);Mobile Suit Variations;¥2,500;1999 May;Color variant of MG-018. Includes 1/20 and 1/100 scale Gaia figures.
Mg-ms-09r.jpg;MS-09R Rick-Dom;Mobile Suit Gundam;¥4,000;1999 October;Parts variant of MG-021,  G and L plate runners replaced by N and O plate runners. Includes Zeon pilot figurine. Water slide decal sheet is sold separately as GD-15.
MG_Casval's_Gundam_Coating_Ver.jpg;Gundam RX-78 (Casval Custom) Coating Version;Mobile Suit Gundam Gihren's Greed;¥4,500;1999 October;The 39th All Japan Model & Hobby Show 1999 exclusive chrome color plated variant of MG-001. Includes 1/20 scale Char Aznable (pilot suit) figure.
MG_Gelgoog_Coating_Ver.jpg;MS-14 Gelgoog (Anavel Gato Custom) Coating Version;Mobile Suit Gundam 0083: Stardust Memory;¥5,500;1999 October;The 39th All Japan Model & Hobby Show 1999 exclusive chrome color plated variant of MG-008. Includes 1/20 scale Anavel Gato figure.
Fa-010s-mg.jpg;FA-010S Full Armor ZZ Gundam;Mobile Suit Gundam ZZ;¥6,000;2000 August;Parts variant of MG-026. Removal of Full Armor parts reveals MSZ-010S Enhanced ZZ Gundam.
Rx-93-mg.jpg;RX-93  Gundam;Mobile Suit Gundam: Char's Counterattack;¥5,000;2000 December;Features diecast metal parts for the ankles and hips. Includes Amuro Ray figurine. Water slide decal sheet is sold separately as GD-23. First Gundam kit with torso inner frame parts.
N/A;RGC-80 GM Cannon Conversion Parts;Mobile Suit Variations;¥6,500;2000 February;Resin-cast conversion kit for MG-017.
MG_Zaku_II_Coating_Ver.jpg;MS-06F/J Zaku II Ground Type Zaku II Coating Version;Mobile Suit Gundam;¥3,500;2000 January;Special color chrome plated variant of MG-003. Includes 1/20 scale Zeon pilot figure. Released to commemorate the 20th anniversary of ''Gundam''.
Gunpla_MG_ltd_GundamGP02A-Coating_box.jpg;Gundam RX-78 GP02A Coating Version;Mobile Suit Gundam 0083: Stardust Memory;¥6,000;2000 January;Special color chrome plated variant of MG-013. Includes 1/20 scale Anavel Gato figure. Released to commemorate the 20th anniversary of ''Gundam''.
MG_Rick_Dom_Plating_&_Clear_Ver.jpg;MS-09R Rick-Dom Coating & Clear Version;Mobile Suit Gundam;¥6,000;2000 July;9th Japan Fantastic Convention exclusive metallic color variant of MG-023 with clear color armor parts.
MG_Super_Gundam_Plating_&_Clear_Ver.jpg;RX-178+FXA-05D Super Gundam Plated & Clear Version;Mobile Suit Zeta Gundam;¥6,000;2000 July;9th Japan Fantastic Convention exclusive clear color variant of MG-016 with metallic color frame parts.
Mg-msn-04.jpg;MSN-04 Sazabi;Mobile Suit Gundam: Char's Counterattack;¥8,000;2000 July;Includes Char Aznable figurine. Water slide decal sheet is sold separately as GD-23.
RX_78-2_gundam.jpeg;Gundam RX-78-2 Ver.1.5;Mobile Suit Gundam;¥3,000;2000 June;"Parts variant of MG-001. Features pre-assembled legs and waist inner frame. Includes Beam Javelin and Gundam Hammer. Only MG kit to be designated as ""Ver.1.5"". Released as part of the Gundam 20th Anniversary Big Bang Project."
Mg-rx-79g.jpg;Gundam RX-79[G];Mobile Suit Gundam: The 08th MS Team;¥3,000;2000 May;Includes Weapon Rack and Shiroh Amada figurine. First Gundam kit with arm inner frame parts. Uses Manipulator 1 (MP1) plate runner, a universal runner for the hands of MG ground type EFSF mobile suits.
Mg-ms07b.jpg;MS-07B Gouf;Mobile Suit Gundam;¥2,800;2000 October;Includes 1/20 scale Crowley Hamon figure and 1/100 scale Ramba Ral figurine. Water slide decal sheet is sold separately as GD-10.
Mg-rx-79g-ez8.jpg;Gundam Ez8;Mobile Suit Gundam: The 08th MS Team;¥3,000;2000 October;Parts and color variant of MG-027. Includes 1/20 and 1/100 scale Shiro Amada figures. Uses Manipulator 1 (MP1) plate runner.
Ms-05b-rb.jpg;MS-05B Zaku I (Ramba Ral Custom) ;Mobile Suit Gundam;¥2,500;2000 September;Parts and color variant of MG-018. Includes 1/20 and 1/100 scale Ramba Ral figures.
MG_Gundam_NT-1_Plating_&_Clear_Ver.jpg;Gundam RX-78 NT-1 Plated & Clear Version;Mobile Suit Gundam 0080: War in the Pocket;¥5,000;2000 September;Plamodel Radicon Fair 2000 exclusive color chrome plated variant of MG-022 with clear armor parts.
MG_Casval's_Rick_Dom_Coating_Ver.jpg;MS-09RS Rick Dom (Casval Custom) Coating Version;Mobile Suit Gundam;¥6,000;2000 September;Plamodel Radicon Fair 2000 exclusive color chrome plated variant of MG-023.
MG_Dom_Ramba_Ral_Custom_Coating_Ver.jpg;MS-09 Dom (Ramba Ral Custom) Coating Version;Mobile Suit Gundam;¥6,000;2000 September;Blitz Hobby Magazine Events exclusive color chrome plated variant of MG-021.
Mg-rx-78gp03s.jpg;Gundam GP03S;Mobile Suit Gundam 0083: Stardust Memory;¥3,500;2001 April;Includes Kou Uraki figurine and transformable FF-XII-Sp Core Fighter II-Sp, which can be swapped with the Linear Seat type block. Water slide decal sheet is sold separately as GD-24.
N/A;MS-14J ReGelgu;Mobile Suit Gundam ZZ;¥12,800;2001 August;Resin-cast conversion kit for MG-008.
Mg-amx-004.jpg;AMX-004 Qubeley;Mobile Suit Zeta Gundam;¥4,000;2001 August;Includes Haman Karn figurine.
MG_Gundam_Ground_Type_Camouflage.jpg;Gundam RX-79[G] Camouflage Coating Variation;Mobile Suit Gundam: The 08th MS Team;¥5,500;2001 August;Chara Hobby 2001 C3×HOBBY exclusive color variants of MG-027. Features randomly 1 out of 9 possible camouflage patterns (3 forest patterns, 3 cold district patterns and 3 desert patterns).
Mg-rx77.jpg;RX-77-2 Guncannon;Mobile Suit Gundam;¥3,000;2001 December;Includes Spray Missiles, transformable FF-X7 Core Fighter and Kai Shiden figurine. Water slide decal sheet is sold separately as GD-12.
N/A;Long Rifle & Custom Parts Set for MSN-04 Sazabi;Mobile Suit Gundam: Char's Counterattack;¥6,800;2001 December;Resin-cast accessory kit for MG-029.
N/A;RX-79BD-1 Blue Destiny Unit 1 Conversion Parts;Mobile Suit Gundam Side Story: The Blue Destiny;¥12,800;2001 February;Resin-cast conversion kit for MG-027.
N/A;High Detail Action Parts for MS-06J Zaku II Ground Type Foot Parts;Mobile Suit Gundam;¥2,800;2001 February;Resin-cast upgrade kit for MG-003.
Mg-ms-07b3.jpg;MS-07B-3 Gouf Custom;Mobile Suit Gundam: The 08th MS Team;¥3,000;2001 February;Includes 1/20 and 1/100 scale Norris Packard figures.
Mg-ms-18e.jpg;MS-18E Kämpfer;Mobile Suit Gundam 0080: War in the Pocket;¥4,000;2001 January;Includes Mikhail Kaminsky figurine. Water slide decal sheet is sold separately as GD-54. Uses Manipulator 2 (MP2) plate runner, a universal hand runner for MG ground-type Principality of Zeon kits.
Mg-rgm-79g.jpg;RGM-79[G] GM;Mobile Suit Gundam: The 08th MS Team;¥3,000;2001 July;Parts and color variant of MG-027. Uses Manipulator 1 (MP1) plate runner.
N/A;RX-78-1 Prototype Gundam Ver.1.5 Conversion Parts;Mobile Suit Variations;¥3,800;2001 July;Resin-cast conversion kit for MG-028.
Mg-rgz-91.jpg;RGZ-91 Re-GZ;Mobile Suit Gundam: Char's Counterattack;¥4,000;2001 June;Includes Amuro Ray figurine and display stand for Wave Rider mode or Back Weapon System. Water slide decal sheet is sold separately as GD-23.
Mg-msn-001.jpg;MSN-00100 Hyaku-Shiki;Mobile Suit Zeta Gundam;¥4,500;2001 March;Quattro Bajeena figurine. Water slide decal sheet is sold separately as GD-8. First regular released chrome plated MG kit.
N/A;Gundam RX-78-2 Ver.1.5 Perfect Grade;Mobile Suit Gundam;¥4,800;2001 May;Resin-cast upgrade kit for MG-028.
Mg-g-gundam.jpg;GF13-017NJII '''''G''''' Gundam;Mobile Fighter G Gundam;¥2,500;2001 November;"Uses ""Action Frame"" to increase articulation and posing. Includes two clear orange ""God Finger"" hands, transformable Core Lander and 1/20 and 1/100 scale Domon Kasshu figures. First MG kit from the Future Century timeline."
N/A;RGM-79 GM Ver.1.5 Conversion Parts;Mobile Suit Gundam;¥4,800;2001 November;Resin-cast conversion kit for MG-028.
MG_G_Gundam_Version_Up_Parts.jpg;''''G''''' Gundam Version Up Parts;Mobile Fighter G Gundam;N/A;2001 November;'Dengeki Hobby'' January 2002 issue exclusive accessory kit for MG-044. Includes extra hands, a G Gundam head with Domon Kasshu's face, a crushed Gundam head, and effect parts.
N/A;MS-07H-8 Gouf Flight Type Conversion Parts;Mobile Suit Gundam: The 08th MS Team;¥12,800;2001 October;Resin-cast conversion kit for MG-036.
N/A;FA-78-1 Full Armor Gundam Ver.Ka Conversion Parts;Mobile Suit Variations;¥12,800;2001 October;Resin-cast conversion kit for MG-028.
Mg-msz-006a1.jpg;MSZ-006A1 Zeta plus;Gundam Sentinel;¥3,000;2001 October;Includes Karaba pilot figurine. Fully transformable kit. Water slide decal sheet is sold separately as GD-21.
Hobby_257_pmaster_grade_mg_1100_scale_fa010a_fazz_sentinel_versionp.jpg;FA-010-A FAZZ;Gundam Sentinel;¥6,000;2001 September;Parts and color variant of MG-030. Water slide decal sheet is sold separately as GD-21.
N/A;MS-08TX Efreet Conversion Parts;Mobile Suit Gundam: Cross Dimension 0079;¥12,800;2002 April;Resin-cast conversion kit for MG-032.
Mg-ms-06f2.jpg;MS-06F-2 Zaku II F2 (Zeon);Mobile Suit Gundam 0083: Stardust Memory;¥3,000;2002 April;Includes Missile Pods, MMP-80 Machine Gun, and Zeon pilot figurine. Water slide decal sheet is sold separately as GD-24.
Mg-spiegel.jpg;GF13-021NG Gundam Spiegel;Mobile Fighter G Gundam;¥2,500;2002 August;"Uses ""Action Frame"" to increase articulation and posing. Features collapsible chest to allow crossed arm poses. Includes transformable Core Lander and 1/20 scale Schwarz Bruder and Rain Mikamura (with two different head sculpts) figures."
Mg-rx-78ca.jpg;Gundam RX-78/C.A.;Mobile Suit Gundam Gihren's Greed;¥3,000;2002 August;Color variant of MG-028. Includes Char Aznable figurine.
N/A;RGM-79C GM Type C Anime Version Parts;Mobile Suit Gundam 0083: Stardust Memory;¥9,800;2002 August;Resin-cast upgrade kit for MG-050.
N/A;RX-78-6 Mudrock Gundam Conversion Parts;Mobile Suit Gundam: Zeonic Front;¥14,800;2002 December;Resin-cast conversion kit for MG-022.
N/A;MS-09H Dwadge Custom Conversion Parts;Mobile Suit Gundam ZZ;¥14,800;2002 December;Resin-cast conversion kit for MG-021.
Mg-rx78-ka.jpg;RX-78-2 Gundam Ver.Ka;Mobile Suit Gundam;¥3,200;2002 December;Parts and color variant of MG-050. Includes a non-transformable Core Block and MG-050's cockpit block. Water slide decal sheet is sold separately as GD-2. First release of a MS redesigned by Hajime Katoki. First Gundam kit to have a fully transformable FF-X7 Core Fighter with a collapsible tail fin.
Mg-msz-006c1.jpg;MSZ-006C1 Zeta plus C1;Gundam Sentinel;¥3,000;2002 February;Parts and color variant of MG-043. Includes Earth Federation pilot figurine. Water slide decal sheet is sold separately as GD-21. Fully transformable kit.
N/A;MS-08TX[EXAM]Efreet Custom Conversion Parts;Mobile Suit Gundam Side Story: The Blue Destiny;¥13,800;2002 January;Resin-cast conversion kit for MG-032.
N/A;RGM-79N GM Custom Anime Version Parts;Mobile Suit Gundam 0083: Stardust Memory;¥4,800;2002 January;Resin-cast upgrade kit for MG-024.
N/A;GF13-017NJ Shining Gundam Anime Version Head Parts;Mobile Fighter G Gundam;¥1,500;2002 July;Resin-cast upgrade kit for MG-049.
N/A;MSR-00100 Hyaku Shiki Kai Conversion Parts;Zeta Gundam Mobile Suit Variations;¥12,800;2002 July;Resin-cast conversion kit for MG-037.
Mg-msn-02.jpg;MSN-02 Zeong;Mobile Suit Gundam;¥6,000;2002 July;Includes display stands (for unit and arms) and Char Aznable figurine.
Mg-rgm79-c-earth.jpg;RGM-79C GM Type C (Earth Type);Mobile Suit Gundam 0083: Stardust Memory;¥2,500;2002 June;Features modular gun that can be converted into 90mm Machine Gun or GM Rifle. Includes Beam Spray Gun, detachable cockpit block, and Earth Federation pilot figurine. Water slide decal sheet is sold separately as GD-24.
N/A;MS-07A Gouf Conversion Parts;Mobile Suit Gundam: Zeonic Front;¥5,800;2002 June;Resin-cast conversion kit for MG-032.
N/A;MS-14Jg Gelgoog Jäger;Mobile Suit Gundam 0080: War in the Pocket;¥12,800;2002 March;Resin-cast conversion kit for MG-008.
MG_-_GF13-001NHII_Master_Gundam_-_Boxart.jpg;GF13-001NHII Master Gundam;Mobile Fighter G Gundam;¥2,800;2002 March;"Uses ""Action Frame"" to increase articulation and posing. Includes metal wires for ""Distant Crusher"" poses, four clear red ""Darkness Finger"" hands (one for MG-044 to replicate a battle scene from the series), and 1/20 and 1/100 scale Master Asia figures."
N/A;Gundam RX-78-2 Ver.1.5 HGUC Design Parts: Waist Parts Set;Mobile Suit Gundam;¥3,800;2002 March;Resin-cast conversion kit for MG-028.
N/A;Gundam RX-78-2 Ver.1.5 HGUC Design Parts: Body Parts Set;Mobile Suit Gundam;¥3,800;2002 March;Resin-cast conversion kit for MG-028.
N/A;Gundam RX-78-2 Ver.1.5 HGUC Design Parts: Arm Parts Set;Mobile Suit Gundam;¥3,800;2002 March;Resin-cast conversion kit for MG-028.
N/A;MS-09R-2 Rick Dom II Conversion Parts;Mobile Suit Gundam 0080: War in the Pocket;¥14,800;2002 May;Resin-cast upgrade kit for MG-023.
MG-Gundam-GF13-017NJ-Shining-Gundam-Box-Art.jpg;GF13-017NJ Shining Gundam;Mobile Fighter G Gundam;¥2,500;2002 May;"Uses ""Action Frame"" to increase articulation and posing. Includes two clear green ""Shining Finger"" hands, transformable Core Lander, and 1/20 and 1/100 scale Domon Kasshu (in Mobile Trace System suit) figures."
N/A;GF13-011NC Dragon Gundam;Mobile Fighter G Gundam;N/A;2002 May;Originally announced at the 41st Shizuoka Hobby Show 2002, with the prototype model on display at the event. Plans to release this model never went beyond this announcement.
N/A;GF13-006NA Gundam Maxter;Mobile Fighter G Gundam;N/A;2002 May;Originally announced at the 41st Shizuoka Hobby Show 2002, with the prototype model on display at the event. Plans to release this model never went beyond this announcement.
N/A;GF13-050NSW Nobel Gundam;Mobile Fighter G Gundam;N/A;2002 May;Originally announced at the 41st Shizuoka Hobby Show 2002, with the prototype model on display at the event. Plans to release this model never went beyond this announcement.
N/A;JMF1336R Rising Gundam;Mobile Fighter G Gundam;N/A;2002 May;Parts variant of MG-049. Originally announced at the 41st Shizuoka Hobby Show 2002, with the prototype model on display at the event. Plans to release this model never went beyond this announcement.
N/A;GF13-001NHII Master Gundam Anime Version Head Parts;Mobile Fighter G Gundam;¥1,500;2002 November;Resin-cast upgrade kit for MG-047.
N/A;MS-06F2 Zaku II F2 Anime Version Parts;Mobile Suit Gundam 0083: Stardust Memory;¥12,800;2002 November;Resin-cast upgrade kit for MG-048.
Mg-rgm79-c-space.jpg;RGM-79C GM Type C (Space Type);Mobile Suit Gundam 0083: Stardust Memory;¥2,500;2002 November;Color variant of MG-050. Includes additional parts to build Long Rifle. Water slide decal sheet is sold separately as GD-24.
N/A;MS-14G Gelgoog Ground Type Conversion Parts;Mobile Suit Gundam Gihren's Greed;¥4,800;2002 November;Resin-cast conversion kit for MG-009.
N/A;MS-09G Dwadge Conversion Parts;Mobile Suit Gundam ZZ;¥13,800;2002 October;Resin-cast conversion kit for MG-021.
Mg-msa-011s.jpg;MSA-0011 S-Gundam;Gundam Sentinel;¥6,000;2002 October;Fully transformable kit. Includes Core Fighter and G-Core. Water slide decal sheet is sold separately as GD-21.
N/A;Gundam RX-78-2 Ver.1.5 High Mobility Type Parts;Mobile Suit Gundam Gihren's Greed;¥9,800;2002 October;Resin-cast upgrade kit for MG-028.
MG_MS-06F2_Zaku_II_F2_Boxart.jpg;MS-06F-2 Zaku II F2 (E.F.S.F);Mobile Suit Gundam 0083: Stardust Memory;¥3,000;2002 September;Color variant of MG-048 with new head armor,  Missile Pods and MMP-80 Machine Gun replaced by MMP-78 Machine Gun and Heat Hawk. Includes Earth Federation pilot figurine. Water slide decal sheet is sold separately as GD-24.
N/A;RX-78XX Gundam Pixy Conversion Parts;Mobile Suit Gundam: Cross Dimension 0079;¥12,800;2002 September;Resin-cast conversion kit for MG-027.
N/A;GF13-017NJII '''''G''''' Gundam Anime Version Head Parts;Mobile Fighter G Gundam;¥1,500;2003 April;Resin-cast upgrade kit for MG-044.
N/A;RGM-79G GM Command Conversion Parts;Mobile Suit Gundam 0080: War in the Pocket;¥12,800;2003 April;Resin-cast conversion kit for MG-050.
N/A;MSN-02R Zeong High Mobility Type Conversion Parts;Mobile Suit Gundam Gihren's Greed;¥19,800;2003 April;Resin-cast upgrade kit for MG-051.
N/A;MS-09 Dom Anime Version Arm Parts Set;Mobile Suit Gundam;¥3,800;2003 April;Resin-cast upgrade kit for MG-021.
MG_Hyper_Mode_G_Gundam.jpg;GF13-017NJII Hyper Mode '''''G''''' Gundam;Mobile Fighter G Gundam;¥4,500;2003 April;Special gold chrome plated variant of MG-044.
MG_Hyper_Mode_Master_Gundam.jpg;GF13-001NHII Hyper Mode Master Gundam;Mobile Fighter G Gundam;¥5,000;2003 April;Special gold chrome plated variant of MG-047.
N/A;AMX-004G Qubeley Mass Production Type Conversion Parts;Mobile Suit Gundam ZZ;¥14,800;2003 August;Resin-cast conversion kit for MG-041.
Mg-rx78g05.jpg;RX-78-5 Gundam G05;Mobile Suit Gundam Side Story: Space, To the End of a Flash;¥2,800;2003 August;Parts and color variant of MG-063. Includes booster equipment, Gatling Gun, and Forud Romfellow figurine.
MG_RX-78-2_1.5_Plated_Ver.jpg;RX-78-2 Gundam Ver.1.5 Plated Version;Mobile Suit Gundam;¥6,000;2003 August;Bandai Museum exclusive color chrome plated variant of MG-028.
MG_Zaku_II_Modeler's_Cup_Clear_Ver.jpg;MS-06F/J Zaku II Ground Type Zaku II Clear Version;Mobile Suit Gundam;N/A;2003 August;Modeler’s Cup 2003 exclusive clear variant of MG-003. Offered as a prize in the contest.
N/A;FA-178 Full Armor Gundam Mk-II Upgrade Parts;Zeta Gundam Mobile Suit Variations;¥17,800;2003 December;Resin-cast upgrade kit for MG-014.
MG_Perfect_Gundam.jpeg;PF-78-1 Perfect Gundam;Plamo-Kyoshiro;¥4,000;2003 December;Removal of parts reveals an anime-accurate RX-78-2 Gundam. Includes 1/20 and 1/100 scale Shiro Kyoda figures. Instruction manual features a ''Plamo-Kyoshiro'' manga.
MG_Gundam_GP03S_Plating_Ver.jpg;Gundam GP03S Plated Version;Mobile Suit Gundam 0083: Stardust Memory;N/A;2003 December;Gunpla Expo Hong Kong 2003 exclusive silver chrome plated variant of MG-038.
Mg-ms14-ag.jpg;MS-14A Gelgoog (Anavel Gato Custom);Mobile Suit Gundam 0083: Stardust Memory;¥3,500;2003 February;Color variant of MG-008. Includes Prototype Beam Rifle, and 1/20 and 1/100 scale Anavel Gato figures. Water slide decal sheet is sold separately as GD-24.
